code,name,month,momentum,volatility,risk_adj_momentum,turnover_trend,momentum_rank,risk_adj_momentum_rank,turnover_trend_rank,composite_score
801010,农林牧渔,2021-01,-0.0611644564554511,0.31386545251320697,-0.19487476549486565,0.0,0.25925925925925924,0.4074074074074074,0.5185185185185185,0.3950617283950617
801030,基础化工,2021-01,0.04061295100990914,0.24112496350659005,0.16843113387884107,0.0,0.9629629629629629,0.9629629629629629,0.5185185185185185,0.8148148148148148
801040,钢铁,2021-01,-0.01784437807803463,0.24256368448523116,-0.07356574466579356,0.0,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
801050,有色金属,2021-01,-0.014404288391552056,0.38606754604417837,-0.03731028038783594,0.0,0.5925925925925926,0.5555555555555556,0.5185185185185185,0.5555555555555555
801080,电子,2021-01,-0.0012526009155223727,0.3231489128181529,-0.003876234348426401,0.0,0.7777777777777778,0.7777777777777778,0.5185185185185185,0.691358024691358
801880,汽车,2021-01,0.0005315939442731565,0.217619830421713,0.0024427642611567664,0.0,0.8148148148148148,0.8148148148148148,0.5185185185185185,0.7160493827160493
801110,家用电器,2021-01,-0.04455420174608227,0.31342736306859476,-0.14215160192102122,0.0,0.4074074074074074,0.4444444444444444,0.5185185185185185,0.4567901234567901
801120,食品饮料,2021-01,-0.009805202185644069,0.38011745627126414,-0.025795190470407542,0.0,0.6666666666666666,0.7037037037037037,0.5185185185185185,0.6296296296296297
801130,纺织服饰,2021-01,-0.0713799255919717,0.1722286229875225,-0.4144486807929887,0.0,0.14814814814814814,0.07407407407407407,0.5185185185185185,0.24691358024691357
801140,轻工制造,2021-01,0.011577467768994598,0.18782817608107022,0.06163861040740524,0.0,0.9259259259259259,0.9259259259259259,0.5185185185185185,0.7901234567901234
801150,医药生物,2021-01,0.0062028519030778995,0.2874546723476544,0.021578539156865834,0.0,0.8888888888888888,0.8888888888888888,0.5185185185185185,0.7654320987654321
801160,公用事业,2021-01,-0.05269078384136017,0.13567638597705,-0.38835633380058443,0.0,0.3333333333333333,0.1111111111111111,0.5185185185185185,0.32098765432098764
801170,交通运输,2021-01,-0.021152413279245108,0.1608395550262864,-0.13151250807544274,0.0,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.49382716049382713
801180,房地产,2021-01,-0.045715647015996064,0.19564676371984654,-0.23366421272093157,0.0,0.37037037037037035,0.25925925925925924,0.5185185185185185,0.382716049382716
